id,peso,beneficio
227,176,260
228,286,422
229,443,654
230,178,262
231,334,493
232,146,215
233,298,440
234,32,47
235,333,491
236,113,166
237,180,265
238,243,358
239,43,63
240,44,64
241,347,512
242,452,667
243,63,92
244,44,64
245,212,312
246,457,674
247,421,621
248,174,256
249,370,545
250,178,262
251,203,299
252,390,575
253,399,588
254,302,445
255,299,440
256,142,209
257,433,638
258,15,22
259,202,297
260,229,337
261,157,231
262,180,265
263,332,489
264,285,419
265,50,73
266,33,48
267,381,561
268,25,36
269,244,359
270,237,349
271,300,441
272,180,265
273,460,677
274,272,400
275,343,505
276,22,32
277,389,572
278,42,61
279,388,571
280,457,672
281,305,448
282,380,559
283,451,663
284,294,432
285,59,86
286,86,126
287,424,623
288,350,514
289,436,641
290,371,545
291,392,576
292,194,285
293,452,664
294,18,26
295,408,599
296,329,483
297,412,605
298,444,652
299,457,671
300,82,120
301,253,371
302,181,266
303,157,230
304,160,235
305,47,69
306,114,167
307,281,412
308,325,477
309,178,261
310,444,652
311,27,39
312,460,675
313,61,89
314,287,421
315,210,308
316,142,208
317,313,459
318,378,554
319,106,155
320,191,280
321,334,490
322,254,372
323,265,388
324,35,51
325,340,498
326,456,669
327,313,459
328,469,688
329,95,139
330,35,51
331,470,689
332,488,715
333,91,133
334,184,269
335,25,36
336,249,365
337,336,492
338,369,541
339,104,152
340,238,348
341,230,337
342,168,246
343,419,614
344,367,537
345,470,688
346,77,112
347,337,493
348,124,181
349,318,465
350,318,465
351,60,87
352,345,505
353,289,423
354,161,235
355,425,622
356,177,259
357,335,490
358,217,317
359,367,537
360,114,166
361,323,472
362,429,627
363,146,213
364,30,43
365,53,77
366,175,256
367,353,516
368,96,140
369,431,630
370,361,528
371,333,487
372,215,314
373,229,334
374,177,258
375,114,166
376,157,229
377,304,444
378,114,166
379,168,245
380,202,295
381,336,491
382,335,489
383,353,515
384,348,508
385,372,543
386,391,571
387,313,457
388,55,80
389,75,109
390,346,505
391,242,353
392,112,163
393,414,604
394,223,325
395,122,178
396,360,525
397,106,154
398,297,433
399,41,59
400,209,305
401,268,391
402,124,181
403,47,68
404,149,217
405,320,467
406,50,72
407,313,456
408,220,321
409,142,207
410,137,199
411,216,315
412,273,398
413,188,274
414,27,39
415,92,134
416,218,317
417,400,583
418,387,564
419,439,640
420,87,126
421,90,131
422,497,724
423,202,294
424,167,243
425,239,348
426,42,61
427,225,327
428,239,348
429,404,588
430,116,169
431,449,654
432,324,472
433,223,324
434,92,134
435,92,133
436,91,132
437,207,301
438,56,81
439,24,34
440,306,445
441,284,413
442,139,202
443,59,85
444,402,585
445,210,305
446,335,487
447,277,403
448,340,494
449,336,488
450,219,318
451,150,218
452,115,167
453,393,571
454,31,45
455,379,551
456,477,693
457,351,510
458,493,716
459,54,78
460,426,619
461,492,715
462,58,84
463,215,312
464,299,434
465,358,520
466,24,34
467,189,274
468,290,421
469,192,278
470,181,262
471,445,646
472,188,273
473,499,724
474,346,502
475,192,278
476,48,69
477,243,352
478,330,479
479,334,485
480,10,14
481,252,365
482,15,21
483,230,333
484,476,690
485,375,544
486,212,307
487,445,645
488,359,520
489,77,111
490,394,571
491,25,36
492,414,600
493,456,661
494,238,345
495,397,575
496,128,185
497,458,664
498,218,316
499,271,392
500,82,118
501,334,484
502,247,358
503,276,400
504,102,147
505,111,160
506,431,624
507,41,59
508,66,95
509,406,588
510,146,211
511,275,398
512,199,288
513,342,495
514,239,346
515,187,270
516,246,356
517,58,84
518,494,715
519,196,283
520,486,703
521,82,118
522,76,110
523,104,150
524,310,448
525,438,634
526,342,495
527,393,568
528,149,215
529,64,92
530,358,518
531,333,481
532,282,407
533,257,371
534,54,78
535,171,247
536,29,41
537,322,465
538,387,559
539,474,685
540,426,615
541,123,177
542,93,134
543,38,54
544,64,92
545,227,328
546,44,63
547,327,472
548,187,270
549,459,663
550,65,93
551,337,486
552,51,73
553,467,674
554,318,459
555,466,673
556,36,51
557,483,697
558,415,599
559,264,381
560,416,600
561,153,220
562,177,255
563,391,564
564,402,580
565,366,528
566,385,555
567,431,622
568,341,492
569,476,686
570,223,321
571,264,380
572,113,163
573,340,490
574,126,181
575,163,235
576,161,232
577,95,137
578,17,24
579,246,354
580,435,627
581,257,370
582,31,44
583,233,335
584,164,236
585,125,180
586,450,648
587,94,135
588,492,709
589,255,367
590,85,122
591,454,654
592,418,602
593,106,152
594,40,57
595,393,566
596,159,229
597,490,705
598,375,540
599,74,106
600,319,459
601,129,185
602,252,362
603,314,452
604,298,429
605,94,135
606,392,564
607,98,141
608,310,446
609,188,270
610,476,684
611,340,489
612,185,266
613,269,387
614,316,454
615,190,273
616,77,110
617,434,624
618,66,94
619,12,17
620,21,30
621,175,251
622,84,120
623,163,234
624,173,248
625,290,416
626,439,631
627,68,97
628,60,86
629,332,477
630,296,425
631,320,459
632,179,257
633,249,357
634,20,28
635,489,702
636,417,598
637,360,517
638,219,314
639,280,402
640,137,196
641,108,155
642,170,244
643,420,602
644,194,278
645,80,114
646,106,152
647,386,554
648,265,380
649,43,61
650,10,14
651,370,530
652,366,525
653,326,467
654,56,80
655,280,401
656,204,292
657,362,519
658,223,319
659,417,598
660,111,159
661,98,140
662,254,364
663,140,200
664,191,273
665,359,514
666,396,567
667,455,652
668,77,110
669,360,515
670,419,600
671,350,501
672,432,618
673,227,325
674,126,180
675,405,580
676,253,362
677,108,154
678,434,621
679,306,438
680,177,253
681,451,645
682,222,317
683,245,350
684,304,435
685,154,220
686,301,430
687,164,234
688,307,439
689,353,505
690,72,103
691,178,254
692,264,377
693,30,42
694,348,497
695,369,527
696,199,284
697,67,95
698,458,655
699,409,584
700,310,443
701,56,80
702,197,281
703,408,583
704,34,48
705,355,507
706,482,688
707,444,634
708,349,498
709,161,230
710,400,571
711,320,457
712,184,262
713,146,208
714,379,541
715,176,251
716,326,465
717,225,321
718,60,85
719,128,182
720,59,84
721,192,274
722,380,542
723,450,642
724,150,214
725,276,393
726,299,426
727,221,315
728,54,77
729,31,44
730,113,161
731,290,413
732,468,667
733,165,235
734,290,413
735,247,352
736,414,590
737,355,506
738,182,259
739,96,136
740,452,644
741,94,134
742,61,86
743,381,543
744,430,613
745,435,620
746,136,193
747,261,372
748,103,146
749,420,598
750,143,203
751,91,129
752,116,165
753,347,494
754,376,535
755,357,508
756,404,575
757,69,98
758,489,696
759,171,243
760,180,256
761,283,402
762,154,219
763,124,176
764,415,590
765,422,600
766,297,422
767,423,602
768,185,263
769,391,556
770,40,56
771,243,345
772,272,387
773,288,409
774,297,422
775,354,503
776,265,376
777,58,82
778,13,18
779,130,184
780,478,679
781,413,587
782,170,241
783,164,233
784,209,297
785,263,373
786,465,660
787,195,277
788,362,514
789,209,297
790,66,93
791,144,204
792,193,274
793,165,234
794,163,231
795,339,481
796,435,617
797,152,215
798,134,190
799,101,143
800,51,72
801,177,251
802,30,42
803,209,296
804,117,166
805,477,677
806,70,99
807,491,696
808,20,28
809,14,19
810,209,296
811,134,190
812,470,666
813,347,492
814,77,109
815,262,371
816,487,690
817,381,540
818,204,289
819,452,640
820,107,151
821,93,131
822,132,187
823,272,385
824,57,80
825,364,515
826,481,681
827,459,650
828,438,620
829,258,365
830,203,287
831,191,270
832,383,542
833,386,546
834,242,342
835,60,84
836,26,36
837,84,118
838,360,509
839,442,625
840,412,583
841,97,137
842,346,489
843,456,645
844,149,210
845,472,668
846,73,103
847,458,648
848,308,435
849,249,352
850,440,622
851,393,556
852,239,338
853,322,455
854,466,659
855,137,193
856,235,332
857,205,289
858,32,45
859,174,246
860,267,377
861,278,393
862,301,425
863,442,624
864,401,566
865,69,97
866,196,277
867,323,456
868,470,664
869,300,423
870,368,519
871,164,231
872,303,428
873,16,22
874,259,365
875,90,127
876,113,159
877,264,372
878,406,573
879,393,554
880,148,208
881,370,522
882,253,357
883,233,328
884,247,348
885,200,282
886,160,225
887,70,98
888,104,146
889,25,35
890,34,47
891,337,475
892,88,124
893,310,437
894,102,143
895,95,133
896,266,375
897,196,276
898,291,410
899,214,301
900,11,15
901,294,414
902,119,167
903,261,367
904,468,659
905,304,428
906,355,500
907,271,381
908,195,274
909,300,422
910,297,418
911,168,236
912,380,535
913,161,226
914,259,364
915,452,636
916,467,657
917,381,536
918,395,556
919,468,658
920,494,695
921,150,211
922,339,477
923,111,156
924,122,171
925,239,336
926,466,655
927,232,326
928,165,232
929,212,298
930,241,339
931,78,109
932,211,296
933,149,209
934,308,433
935,126,177
936,88,123
937,185,260
938,217,305
939,105,147
940,15,21
941,324,455
942,222,312
943,261,366
944,26,36
945,493,692
946,391,549
947,12,16
948,206,289
949,455,639
950,85,119
951,296,415
952,59,82
953,455,639
954,153,214
955,144,202
956,210,294
957,271,380
958,213,299
959,21,29
960,72,101
961,460,645
962,98,137
963,266,373
964,55,77
965,80,112
966,268,376
967,213,298
968,272,381
969,49,68
970,118,165
971,114,159
972,292,409
973,66,92
974,458,642
975,166,232
976,413,579
977,370,518
978,218,305
979,161,225
980,346,485
981,92,128
982,30,42
983,13,18
984,157,220
985,472,661
986,251,351
987,260,364
988,475,665
989,332,465
990,315,441
991,210,294
992,125,175
993,447,626
994,108,151
995,335,469
996,259,362
997,286,400
998,35,49
999,227,317
1000,166,232
1001,259,362
1002,226,316
1003,306,428
1004,384,537
1005,84,117
1006,474,663
1007,107,149
1008,371,519
1009,192,268
1010,406,567
1011,345,482
1012,14,19
1013,58,81
1014,350,489
1015,391,546
1016,210,293
1017,95,132
1018,355,496
1019,271,378
1020,170,237
1021,493,689
1022,202,282
1023,211,294
1024,177,247
1025,329,459
1026,459,641
1027,288,402
1028,44,61
1029,76,106
1030,118,164
1031,227,317
1032,323,451
1033,237,331
1034,373,520
1035,416,580
1036,334,466
1037,47,65
1038,225,314
1039,441,615
1040,109,152
1041,404,563
1042,84,117
1043,395,551
1044,442,616
1045,373,520
1046,343,478
1047,384,535
1048,476,664
1049,236,329
1050,208,290
1051,462,644
1052,265,369
1053,398,555
1054,372,518
1055,220,306
1056,171,238
1057,433,603
1058,470,655
1059,372,518
1060,178,248
1061,320,446
1062,353,492
1063,204,284
1064,68,94
1065,101,140
1066,428,596
1067,464,646
1068,91,126
1069,48,66
1070,69,96
1071,13,18
1072,16,22
1073,243,338
1074,492,685
1075,245,341
1076,246,342
1077,95,132
1078,466,648
1079,73,101
1080,106,147
1081,401,558
1082,262,364
1083,152,211
1084,299,416
1085,48,66
1086,341,474
1087,465,646
1088,351,488
1089,292,406
1090,137,190
1091,481,669
1092,75,104
1093,165,229
1094,343,476
1095,455,632
1096,419,582
1097,462,642
1098,336,467
1099,441,613
1100,45,62
1101,172,239
1102,133,184
1103,412,572
1104,350,486
1105,33,45
1106,124,172
1107,65,90
1108,115,159
1109,160,222
1110,278,386
1111,132,183
1112,139,193
1113,204,283
1114,200,277
1115,132,183
1116,204,283
1117,79,109
1118,384,533
1119,330,458
1120,18,24
1121,426,591
1122,295,409
1123,175,242
1124,259,359
1125,195,270
1126,407,564
1127,193,267
1128,374,518
1129,285,395
1130,281,389
1131,82,113
1132,406,563
1133,149,206
1134,470,651
1135,240,332
1136,11,15
1137,302,418
1138,399,553
1139,492,681
1140,84,116
1141,29,40
1142,456,631
1143,230,318
1144,47,65
1145,332,459
1146,195,270
1147,252,349
1148,239,331
1149,326,451
1150,140,193
1151,279,386
1152,423,585
1153,232,321
1154,357,494
1155,161,222
1156,236,326
1157,370,512
1158,183,253
1159,385,532
1160,451,624
1161,57,78
1162,239,330
1163,431,596
1164,71,98
1165,30,41
1166,298,412
1167,70,96
1168,156,215
1169,299,413
1170,386,533
1171,91,125
1172,193,266
1173,157,217
1174,338,467
1175,285,394
1176,26,35
1177,288,398
1178,349,482
1179,12,16
1180,382,527
1181,10,13
1182,192,265
1183,174,240
1184,305,421
1185,272,375
1186,283,390
1187,14,19
1188,88,121
1189,156,215
1190,179,247
1191,102,140
1192,487,672
1193,127,175
1194,226,312
1195,299,412
1196,302,416
1197,53,73
1198,385,531
1199,186,256
1200,444,612
1201,403,556
1202,249,343
1203,204,281
1204,62,85
1205,77,106
1206,194,267
1207,61,84
1208,484,667
1209,348,479
1210,331,456
1211,473,652
1212,18,24
1213,123,169
1214,49,67
1215,71,97
1216,497,685
1217,272,374
1218,355,489
1219,406,559
1220,207,285
1221,45,62
1222,93,128
1223,160,220
1224,114,157
1225,373,513
1226,17,23
1227,223,307
1228,426,586
1229,260,358
1230,443,610
1231,268,369
1232,151,207
1233,174,239
1234,442,608
1235,169,232
1236,433,595
1237,443,609
1238,370,509
1239,409,562
1240,195,268
1241,67,92
1242,169,232
1243,384,528
1244,304,418
1245,310,426
1246,378,519
1247,424,583
1248,264,363
1249,381,523
1250,368,506
1251,60,82
1252,143,196
1253,89,122
1254,324,445
1255,195,268
1256,445,611
1257,347,476
1258,28,38
1259,496,681
1260,13,17
1261,470,645
1262,311,427
1263,373,512
1264,20,27
1265,478,656
1266,286,392
1267,356,488
1268,117,160
1269,324,444
1270,152,208
1271,153,210
1272,478,656
1273,390,535
1274,99,135
1275,434,595
1276,13,17
1277,284,389
1278,50,68
1279,26,35
1280,49,67
1281,123,168
1282,134,183
1283,192,263
1284,217,297
1285,147,201
1286,307,421
1287,465,637
1288,206,282
1289,439,601
1290,251,344
1291,220,301
1292,263,360
1293,33,45
1294,86,117
1295,324,444
1296,69,94
1297,70,95
1298,93,127
1299,356,487
1300,406,556
1301,322,441
1302,429,587
1303,184,252
1304,64,87
1305,451,617
1306,313,428
1307,127,173
1308,57,78
1309,470,643
1310,70,95
1311,252,344
1312,148,202
1313,96,131
1314,252,344
1315,171,234
1316,121,165
1317,127,173
1318,358,489
1319,273,373
1320,344,470
1321,205,280
1322,87,118
1323,475,649
1324,389,531
1325,384,525
1326,140,191
1327,238,325
1328,189,258
1329,363,496
1330,31,42
1331,187,255
1332,15,20
1333,50,68
1334,167,228
1335,458,625
1336,446,609
1337,118,161
1338,166,226
1339,291,397
1340,307,419
1341,49,66
1342,151,206
1343,77,105
1344,155,211
1345,165,225
1346,166,226
1347,150,204
1348,41,55
1349,350,477
1350,153,208
1351,75,102
1352,55,75
1353,300,409
1354,163,222
1355,147,200
1356,473,645
1357,369,503
1358,336,458
1359,61,83
1360,499,680
1361,156,212
1362,313,426
1363,188,256
1364,376,512
1365,365,497
1366,82,111
1367,143,194
1368,190,259
1369,102,139
1370,134,182
1371,233,317
1372,295,402
1373,211,287
1374,258,351
1375,454,618
1376,324,441
1377,331,450
1378,52,70
1379,145,197
1380,425,578
1381,254,345
1382,428,582
1383,224,305
1384,491,668
1385,166,226
1386,116,157
1387,273,371
1388,468,637
1389,493,671
1390,473,643
1391,448,609
1392,328,446
1393,278,378
1394,199,270
1395,77,104
1396,110,149
1397,450,612
1398,164,223
1399,478,650
1400,449,610
1401,327,444
1402,291,395
1403,499,678
1404,280,380
1405,363,493
1406,277,376
1407,402,546
1408,122,165
1409,255,346
1410,278,377
1411,85,115
1412,378,513
1413,121,164
1414,211,286
1415,479,650
1416,453,615
1417,334,453
1418,152,206
1419,262,355
1420,478,649
1421,400,543
1422,44,59
1423,201,272
1424,157,213
1425,185,251
1426,40,54
1427,319,432
1428,485,658
1429,126,170
1430,221,299
1431,441,598
1432,200,271
1433,380,515
1434,456,618
1435,192,260
1436,293,397
1437,125,169
1438,378,512
1439,255,345
1440,131,177
1441,49,66
1442,47,63
1443,213,288
1444,58,78
1445,371,502
1446,226,306
1447,241,326
1448,352,477
1449,404,547
1450,356,482
1451,85,115
1452,268,363
1453,179,242
1454,16,21
1455,18,24
1456,271,367
1457,150,203
1458,379,513
1459,417,564
1460,203,274
1461,434,587
1462,75,101
1463,290,392
1464,87,117
1465,161,217
1466,137,185
1467,83,112
1468,467,631
1469,213,288
1470,223,301
1471,328,443
1472,234,316
1473,69,93
1474,248,335
1475,162,219
1476,356,481
1477,450,608
1478,145,196
1479,313,423
1480,149,201
1481,181,244
1482,455,615
1483,108,145
1484,109,147
1485,425,574
1486,80,108
1487,479,647
1488,413,558
1489,65,87
1490,242,326
1491,124,167
1492,427,576
1493,261,352
1494,257,347
1495,22,29
1496,358,483
1497,36,48
1498,327,441
1499,413,557
1500,243,328
1501,409,552
1502,224,302
1503,176,237
1504,234,315
1505,144,194
1506,341,460
1507,447,603
1508,380,512
1509,264,356
1510,104,140
1511,267,360
1512,151,203
1513,253,341
1514,367,494
1515,357,481
1516,81,109
1517,127,171
1518,50,67
1519,176,237
1520,411,554
1521,421,567
1522,451,607
1523,31,41
1524,311,419
1525,181,243
1526,264,355
1527,301,405
1528,398,536
1529,293,394
1530,386,519
1531,428,576
1532,317,426
1533,248,333
1534,233,313
1535,324,436
1536,266,358
1537,152,204
1538,22,29
1539,270,363
1540,134,180
1541,282,379
1542,404,543
1543,493,663
1544,320,430
1545,477,641
1546,342,460
1547,368,495
1548,195,262
1549,23,30
1550,119,160
1551,262,352
1552,52,69
1553,317,426
1554,390,524
1555,139,186
1556,346,465
1557,55,73
1558,495,665
1559,234,314
1560,90,120
1561,204,274
1562,340,456
1563,202,271
1564,376,505
1565,219,294
1566,194,260
1567,300,402
1568,299,401
1569,35,47
1570,343,460
1571,148,198
1572,483,648
1573,32,42
1574,45,60
1575,338,453
1576,275,369
1577,249,334
1578,398,534
1579,454,609
1580,434,582
1581,332,445
1582,192,257
1583,273,366
1584,433,580
1585,242,324
1586,122,163
1587,151,202
1588,30,40
1589,413,553
1590,175,234
1591,327,438
1592,446,597
1593,152,203
1594,345,462
1595,438,587
1596,241,323
1597,206,276
1598,259,347
1599,393,526
1600,408,546
1601,494,661
1602,403,539
1603,105,140
1604,380,509
1605,428,573
1606,178,238
1607,453,606
1608,438,586
1609,213,285
1610,46,61
1611,150,200
1612,83,111
1613,30,40
1614,479,641
1615,314,420
1616,346,463
1617,43,57
1618,287,384
1619,415,555
1620,306,409
1621,461,616
1622,266,355
1623,460,615
1624,266,355
1625,320,428
1626,159,212
1627,227,303
1628,344,459
1629,148,197
1630,474,633
1631,127,169
1632,290,387
1633,94,125
1634,133,177
1635,482,644
1636,277,370
1637,227,303
1638,112,149
1639,493,658
1640,430,574
1641,492,657
1642,299,399
1643,233,311
1644,480,641
1645,26,34
1646,294,392
1647,116,154
1648,68,90
1649,369,492
1650,43,57
1651,97,129
1652,35,46
1653,170,226
1654,180,240
1655,419,559
1656,366,488
1657,65,86
1658,280,373
1659,192,256
1660,270,360
1661,200,266
1662,485,646
1663,415,553
1664,30,40
1665,493,657
1666,230,306
1667,499,665
1668,137,182
1669,446,594
1670,43,57
1671,397,529
1672,333,443
1673,239,318
1674,404,538
1675,480,639
1676,49,65
1677,445,592
1678,298,396
1679,200,266
1680,349,464
1681,319,424
1682,488,649
1683,17,22
1684,86,114
1685,63,83
1686,391,520
1687,191,254
1688,341,453
1689,335,445
1690,316,420
1691,50,66
1692,390,519
1693,490,652
1694,456,606
1695,97,129
1696,198,263
1697,328,436
1698,266,353
1699,225,299
1700,358,476
1701,469,623
1702,72,95
1703,423,562
1704,428,569
1705,76,101
1706,471,626
1707,267,354
1708,137,182
1709,140,186
1710,28,37
1711,334,443
1712,402,534
1713,191,253
1714,198,263
1715,20,26
1716,164,217
1717,161,213
1718,406,539
1719,212,281
1720,125,166
1721,87,115
1722,106,140
1723,432,573
1724,419,556
1725,141,187
1726,399,529
1727,186,246
1728,405,537
1729,305,404
1730,134,177
1731,323,428
1732,375,497
1733,481,638
1734,232,307
1735,164,217
1736,131,173
1737,164,217
1738,102,135
1739,220,291
1740,266,352
1741,393,521
1742,187,247
1743,385,510
1744,396,524
1745,236,312
1746,202,267
1747,177,234
1748,85,112
1749,246,325
1750,148,196
1751,87,115
1752,184,243
1753,363,480
1754,81,107
1755,274,362
1756,429,568
1757,398,527
1758,456,603
1759,45,59
1760,70,92
1761,130,172
1762,446,590
1763,388,513
1764,133,176
1765,497,657
1766,174,230
1767,298,394
1768,171,226
1769,233,308
1770,97,128
1771,466,616
1772,194,256
1773,139,183
1774,144,190
1775,250,330
1776,457,604
1777,36,47
1778,212,280
1779,288,380
1780,498,658
1781,295,389
1782,158,208
1783,278,367
1784,146,192
1785,69,91
1786,135,178
1787,59,77
1788,483,638
1789,171,225
1790,261,344
1791,178,235
1792,43,56
1793,210,277
1794,179,236
1795,297,392
1796,157,207
1797,361,476
1798,173,228
1799,460,607
1800,169,223
1801,364,480
1802,489,645
1803,309,407
1804,95,125
1805,384,506
1806,409,539
1807,479,631
1808,307,404
1809,241,317
1810,499,658
1811,331,436
1812,258,340
1813,102,134
1814,386,508
1815,366,482
1816,474,624
1817,203,267
1818,471,620
1819,365,481
1820,70,92
1821,170,224
1822,91,119
1823,410,540
1824,33,43
1825,355,467
1826,172,226
1827,332,437
1828,95,125
1829,95,125
1830,346,455
1831,401,528
1832,261,343
1833,265,348
1834,202,265
1835,191,251
1836,226,297
1837,395,519
1838,362,476
1839,243,319
1840,475,625
1841,13,17
1842,351,461
1843,126,165
1844,287,377
1845,391,514
1846,396,520
1847,461,606
1848,308,405
1849,475,624
1850,266,349
1851,414,544
1852,219,287
1853,133,174
1854,169,222
1855,215,282
1856,423,555
1857,34,44
1858,135,177
1859,83,109
1860,394,517
1861,170,223
1862,432,567
1863,466,612
1864,182,239
1865,98,128
1866,175,229
1867,431,566
1868,456,598
1869,158,207
1870,409,537
1871,53,69
1872,113,148
1873,355,466
1874,59,77
1875,232,304
1876,59,77
1877,116,152
1878,26,34
1879,498,653
1880,488,640
1881,475,623
1882,219,287
1883,94,123
1884,334,438
1885,222,291
1886,47,61
1887,338,443
1888,291,381
1889,152,199
1890,61,79
1891,153,200
1892,173,226
1893,330,432
1894,177,231
1895,19,24
1896,244,319
1897,191,250
1898,130,170
1899,389,509
1900,352,461
1901,455,596
1902,326,426
1903,336,440
1904,190,248
1905,480,628
1906,122,159
1907,464,607
1908,451,590
1909,87,113
1910,120,157
1911,282,369
1912,74,96
1913,151,197
1914,30,39
1915,259,338
1916,319,417
1917,74,96
1918,492,643
1919,165,215
1920,343,448
1921,435,568
1922,56,73
1923,356,465
1924,77,100
1925,481,628
1926,124,162
1927,282,368
1928,11,14
1929,240,313
1930,409,534
1931,114,148
1932,426,556
1933,261,341
1934,174,227
1935,171,223
1936,134,175
1937,51,66
1938,298,389
1939,430,561
1940,38,49
1941,128,167
1942,415,541
1943,357,466
1944,287,374
1945,68,88
1946,291,379
1947,72,93
1948,180,234
1949,48,62
1950,196,255
1951,282,367
1952,90,117
1953,24,31
1954,323,421
1955,97,126
1956,459,598
1957,378,493
1958,168,219
1959,335,436
1960,137,178
1961,302,393
1962,410,534
1963,457,595
1964,36,46
1965,337,439
1966,154,200
1967,107,139
1968,237,308
1969,184,239
1970,432,562
1971,280,364
1972,326,424
1973,181,235
1974,40,52
1975,474,617
1976,354,461
1977,187,243
1978,314,408
1979,137,178
1980,458,596
1981,401,522
1982,55,71
1983,264,343
1984,410,533
1985,328,426
1986,325,422
1987,72,93
1988,210,273
1989,251,326
1990,330,429
1991,88,114
1992,375,487
1993,263,342
1994,139,180
1995,398,517
1996,183,237
1997,435,565
1998,233,302
1999,187,243
2000,349,453
2001,34,44
2002,169,219
2003,120,155
2004,412,535
2005,120,155
2006,392,509
2007,53,68
2008,301,391
2009,90,116
2010,211,274
2011,162,210
2012,342,444
2013,122,158
2014,136,176
2015,455,590
2016,280,363
2017,358,464
2018,414,537
2019,71,92
2020,470,610
2021,323,419
2022,12,15
2023,268,347
2024,345,447
2025,288,373
2026,295,382
2027,203,263
2028,116,150
2029,483,626
2030,374,485
2031,481,623
2032,449,582
2033,498,645
2034,269,348
2035,219,283
2036,476,617
2037,475,615
2038,336,435
2039,218,282
2040,403,522
2041,341,441
2042,21,27
2043,464,601
2044,132,171
2045,271,351
2046,485,628
2047,84,108
2048,476,616
2049,269,348
2050,423,547
2051,159,205
2052,405,524
2053,262,339
2054,11,14
2055,406,525
2056,485,627
2057,108,139
2058,383,495
2059,147,190
2060,166,214
2061,176,227
2062,75,97
2063,454,587
2064,453,586
2065,180,232
2066,115,148
2067,140,181
2068,281,363
2069,349,451
2070,407,526
2071,356,460
2072,171,221
2073,408,527
2074,14,18
2075,347,448
2076,102,131
2077,333,430
2078,270,348
2079,345,445
2080,177,228
2081,68,87
2082,254,328
2083,452,583
2084,300,387
2085,67,86
2086,227,293
2087,10,12
2088,432,557
2089,446,575
2090,440,568
2091,379,489
2092,300,387
2093,92,118
2094,286,369
2095,197,254
2096,77,99
2097,236,304
2098,384,495
2099,268,345
2100,383,494
2101,285,367
2102,266,343
2103,139,179
2104,239,308
2105,449,578
2106,351,452
2107,36,46
2108,350,451
2109,426,549
2110,151,194
2111,461,594
2112,302,389
2113,204,262
2114,284,365
2115,193,248
2116,445,573
2117,30,38
2118,448,577
2119,295,379
2120,95,122
2121,269,346
2122,85,109
2123,223,287
2124,53,68
2125,155,199
2126,321,413
2127,91,117
2128,255,328
